Year,Type,Count,TotalPct,WhitePct,BlackPct,date
1926,State + Federal,43328,100,78,21,1975-04-11
1927,State + Federal,44062,100,78,21,1975-04-12
1928,State + Federal,48212,100,78,21,1975-04-13
1929,State + Federal,58906,100,78,21,1975-04-14
1930,State + Federal,66013,100,77,22,1975-04-15
1931,State + Federal,71520,100,77,22,1975-04-16
1932,State + Federal,67477,100,77,22,1975-04-17
1933,State + Federal,62801,100,76,23,1975-04-18
1934,State + Federal,62251,100,75,24,1975-04-19
1935,State + Federal,65723,100,74,25,1975-04-20
1936,State + Federal,60925,100,73,26,1975-04-21
1937,State + Federal,59073,100,73,26,1975-04-22
1938,State + Federal,64265,100,73,26,1975-04-23
1939,State + Federal,62000,100,73,26,1975-04-24
1940,State + Federal,62692,100,71,28,1975-04-25
1941,State + Federal,56023,100,70,29,1975-04-26
1942,State + Federal,47761,100,68,31,1975-04-27
1943,State + Federal,40273,100,69,30,1975-04-28
1944,State + Federal,41058,100,69,30,1975-04-29
1945,State + Federal,43281,100,68,31,1975-04-30
1946,State + Federal,56432,100,66,33,1975-05-01
1947,State + Federal,51016,100,69,30,1975-05-02
1948,State + Federal,49834,100,70,29,1975-05-03
1949,State + Federal,54370,100,70,29,1975-05-04
1950,State + Federal,57988,100,69,30,1975-05-05
1960,State + Federal,84068,100,66,32,1975-05-15
1964,State + Federal,81099,100,65,33,1975-05-19
1970,State + Federal,48497,100,61,39,1975-05-25
1974,State + Federal,52245,100,59,38,1975-05-29
1975,State + Federal,42351,100,64,35,1975-05-30
1976,State + Federal,69746,100,61,35,1975-05-31
1977,State + Federal,72183,100,61,38,1975-06-01
1978,State + Federal,95502,100,58,41,1975-06-02
1979,State + Federal,94828,100,60,39,1975-06-03
1980,State + Federal,134634,100,58,41,1975-06-04
1981,State + Federal,135611,100,57,42,1975-06-05
1982,State + Federal,131617,100,55,44,1975-06-06
1983,State + Federal,122575,100,58,41,1975-06-07
1984,State + Federal,137583,100,58,41,1975-06-08
1985,State + Federal,166743,100,56,43,1975-06-09
1986,State + Federal,183769,100,55,44,1975-06-10
