Year,Type,Count,TotalPct,WhitePct,BlackPct,date
1926,State,38318,100,75,23,1975-04-11
1927,State,39041,100,77,22,1975-04-12
1928,State,42642,100,-,-,1975-04-13
1929,State,49172,100,76,23,1975-04-14
1930,State,56213,100,75,24,1975-04-15
1931,State,60905,100,76,23,1975-04-16
1932,State,57825,100,76,23,1975-04-17
1933,State,54468,100,74,25,1975-04-18
1934,State,52976,100,73,26,1975-04-19
1935,State,53886,100,72,27,1975-04-20
1936,State,49466,100,72,27,1975-04-21
1937,State,46412,100,72,27,1975-04-22
1938,State,50169,100,72,27,1975-04-23
1939,State,48324,100,72,27,1975-04-24
1940,State,47462,100,70,29,1975-04-25
1941,State,41202,100,69,30,1975-04-26
1942,State,35649,100,65,34,1975-04-27
1943,State,29537,100,65,34,1975-04-28
1944,State,28641,100,66,33,1975-04-29
1945,State,31450,100,66,33,1975-04-30
1946,State,43679,100,64,35,1975-05-01
1947,State,40601,100,68,31,1975-05-02
1948,State,30899,100,68,31,1975-05-03
1949,State,43941,100,69,30,1975-05-04
1950,State,46496,100,69,30,1975-05-05
1960,State,69235,100,65,34,1975-05-15
1964,State,67879,100,63,35,1975-05-19
1970,State,37437,100,57,43,1975-05-25
1974,State,37064,100,54,41,1975-05-29
1975,State,25796,100,60,38,1975-05-30
1976,State,51035,100,58,37,1975-05-31
1977,State,54023,100,59,40,1975-06-01
1978,State,77017,100,55,44,1975-06-02
1979,State,79535,100,58,41,1975-06-03
1980,State,117251,100,57,42,1975-06-04
1981,State,121211,100,55,44,1975-06-05
1982,State,114391,100,53,46,1975-06-06
1983,State,103588,100,55,44,1975-06-07
1984,State,119042,100,55,44,1975-06-08
1985,State,146862,100,54,45,1975-06-09
1986,State,167474,100,53,46,1975-06-10
